dataset,created,modified
http://thedatahub.org/dataset/dbtune-classical,2010-07-29T23:38:00.972577,2011-07-20T21:01:12.670727
http://thedatahub.org/dataset/rkb-explorer-deploy,2010-08-23T13:24:30.566326,2012-07-04T21:03:56.745823
http://thedatahub.org/dataset/uberblic,2010-09-02T08:56:32.939965,2011-07-20T13:58:54.784372
http://thedatahub.org/dataset/university-sussex-reading-lists,2010-09-08T23:21:16.751745,2011-09-01T20:36:53.408728
http://thedatahub.org/dataset/socialsemweb-thesaurus,2011-07-13T16:32:02.161014,2011-10-11T15:26:35.865117
http://thedatahub.org/dataset/university-plymouth-reading-lists,2010-09-08T23:20:19.444483,2011-08-15T16:48:08.566061
http://thedatahub.org/dataset/bio2rdf-prosite,2010-09-01T09:00:33.953356,2011-07-24T17:42:58.412605
http://thedatahub.org/dataset/fu-berlin-eurostat,2010-08-31T10:15:51.268112,2012-08-02T12:31:45.423556
http://thedatahub.org/dataset/dbtune-artists-last-fm,2010-07-30T17:04:31.892324,2011-07-20T15:27:23.924018
http://thedatahub.org/dataset/bluk-bnb,2011-07-20T09:32:36.692753,2012-09-04T08:33:43.830539
http://thedatahub.org/dataset/fu-berlin-project-gutenberg,2010-09-01T09:53:44.096970,2011-08-10T13:36:44.918408
http://thedatahub.org/dataset/riese,2008-06-17T20:45:45,2011-07-20T19:15:17.780627
http://thedatahub.org/dataset/enipedia,2011-03-25T20:54:45.839757,2012-11-22T10:04:54.941937
http://thedatahub.org/dataset/2000-us-census-rdf,2007-08-28T11:00:50,2011-08-10T12:52:09.200848
http://thedatahub.org/dataset/lotico,2010-07-26T22:06:21.903271,2013-04-07T12:56:14.774920
http://thedatahub.org/dataset/rkb-explorer-jisc,2010-08-23T13:45:08.229109,2012-07-04T21:06:22.257665
http://thedatahub.org/dataset/fu-berlin-dblp,2010-05-23T17:55:44.508587,2013-02-28T08:42:44.975369
http://thedatahub.org/dataset/fu-berlin-stitch,2010-08-03T10:43:27.525137,2011-07-20T20:07:57.401962
http://thedatahub.org/dataset/grrp,2011-02-09T17:03:46.111840,2011-09-05T17:08:25.736953
http://thedatahub.org/dataset/rkb-explorer-citeseer,2010-08-22T20:21:25.958018,2012-07-04T21:21:19.729088
http://thedatahub.org/dataset/oclc-fast,2011-12-16T10:04:18.006649,2011-12-16T14:33:42.378476
http://thedatahub.org/dataset/yago,2009-10-27T19:02:24.056574,2013-01-29T18:52:00.808522
http://thedatahub.org/dataset/enakting-nhs,2010-09-13T08:26:20.616415,2011-07-20T22:27:20.224030
http://thedatahub.org/dataset/event-media,2010-09-08T20:36:21.251795,2012-09-11T21:15:21.180848
http://thedatahub.org/dataset/rkb-explorer-cordis,2010-08-22T21:14:35.036416,2012-08-02T14:12:47.166809
http://thedatahub.org/dataset/uk-postcodes,2010-09-06T08:22:40.710457,2011-07-20T13:58:06.312275
http://thedatahub.org/dataset/linked-open-data-of-ecology,2011-01-27T15:12:01.532613,2011-09-06T15:29:00.476327
http://thedatahub.org/dataset/bbc-wildlife-finder,2010-09-02T10:15:09.382278,2011-07-20T21:06:37.517429
http://thedatahub.org/dataset/rkb-explorer-oai,2010-08-23T13:45:59.564303,2012-07-04T20:52:19.239691
http://thedatahub.org/dataset/rkb-explorer-nsf,2010-08-23T13:45:57.059171,2012-07-04T21:19:06.630070
http://thedatahub.org/dataset/dbpedia-pt,2011-06-28T10:33:02.856725,2012-09-19T17:51:22.761492
http://thedatahub.org/dataset/dbpedia-lite,2010-07-26T22:23:44.478098,2012-06-06T18:51:46.794126
http://thedatahub.org/dataset/osm-semantic-network,2013-02-11T13:13:18.463780,2013-03-21T18:35:44.591371
http://thedatahub.org/dataset/bbc-music,2010-09-09T16:10:41.110751,2011-07-20T11:26:18.649279
http://thedatahub.org/dataset/gesis-thesoz,2010-09-03T08:15:42.049647,2013-03-08T13:04:40.125369
http://thedatahub.org/dataset/transparency-linked-data,2012-10-03T16:37:31.739305,2012-10-08T10:07:56.043124
http://thedatahub.org/dataset/stitch-rameau,2009-10-27T19:02:08.925684,2012-06-06T11:42:27.621638
http://thedatahub.org/dataset/colinda,2012-10-02T22:29:59.947077,2012-10-09T16:28:59.968219
